municipio_norm,municipio_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
ACEGUA,Aceguá,Pelotas,Bagé,Sudoeste Rio-grandense
AGUA SANTA,Água Santa,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
AGUDO,Agudo,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
AJURICABA,Ajuricaba,Ijuí,Ijuí,Noroeste Rio-grandense
ALECRIM,Alecrim,Ijuí,Santa Rosa,Noroeste Rio-grandense
ALEGRETE,Alegrete,Uruguaiana,Uruguaiana,Sudoeste Rio-grandense
ALEGRIA,Alegria,Ijuí,Três de Maio,Noroeste Rio-grandense
ALMIRANTE TAMANDARE DO SUL,Almirante Tamandaré do Sul,Passo Fundo,Carazinho,Noroeste Rio-grandense
ALPESTRE,Alpestre,Passo Fundo,Nonoai,Noroeste Rio-grandense
ALTO ALEGRE,Alto Alegre,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
ALTO FELIZ,Alto Feliz,Caxias do Sul,Caxias do Sul,Metropolitana de Porto Alegre
ALVORADA,Alvorada,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
AMARAL FERRADOR,Amaral Ferrador,Porto Alegre,Camaquã,Sudeste Rio-grandense
AMETISTA DO SUL,Ametista do Sul,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
ANDRE DA ROCHA,André da Rocha,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
ANTA GORDA,Anta Gorda,Santa Cruz do Sul - Lajeado,Encantado,Nordeste Rio-grandense
ANTONIO PRADO,Antônio Prado,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
ARAMBARE,Arambaré,Porto Alegre,Camaquã,Metropolitana de Porto Alegre
ARARICA,Araricá,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
ARATIBA,Aratiba,Passo Fundo,Erechim,Noroeste Rio-grandense
ARROIO DO MEIO,Arroio do Meio,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
ARROIO DO SAL,Arroio do Sal,Porto Alegre,Torres,Metropolitana de Porto Alegre
ARROIO DO PADRE,Arroio do Padre,Pelotas,Pelotas,Sudeste Rio-grandense
ARROIO DOS RATOS,Arroio dos Ratos,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
ARROIO DO TIGRE,Arroio do Tigre,Santa Cruz do Sul - Lajeado,Sobradinho,Centro Oriental Rio-grandense
ARROIO GRANDE,Arroio Grande,Pelotas,Pelotas,Sudeste Rio-grandense
ARVOREZINHA,Arvorezinha,Passo Fundo,Soledade,Nordeste Rio-grandense
AUGUSTO PESTANA,Augusto Pestana,Ijuí,Ijuí,Noroeste Rio-grandense
AUREA,Áurea,Passo Fundo,Erechim,Noroeste Rio-grandense
BAGE,Bagé,Pelotas,Bagé,Sudoeste Rio-grandense
BALNEARIO PINHAL,Balneário Pinhal,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
BARAO,Barão,Caxias do Sul,Bento Gonçalves,Metropolitana de Porto Alegre
BARAO DE COTEGIPE,Barão de Cotegipe,Passo Fundo,Erechim,Noroeste Rio-grandense
BARAO DO TRIUNFO,Barão do Triunfo,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
BARRACAO,Barracão,Passo Fundo,Lagoa Vermelha,Noroeste Rio-grandense
BARRA DO GUARITA,Barra do Guarita,Ijuí,Três Passos,Noroeste Rio-grandense
BARRA DO QUARAI,Barra do Quaraí,Uruguaiana,Uruguaiana,Sudoeste Rio-grandense
BARRA DO RIBEIRO,Barra do Ribeiro,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
BARRA DO RIO AZUL,Barra do Rio Azul,Passo Fundo,Erechim,Noroeste Rio-grandense
BARRA FUNDA,Barra Funda,Passo Fundo,Carazinho,Noroeste Rio-grandense
BARROS CASSAL,Barros Cassal,Passo Fundo,Soledade,Noroeste Rio-grandense
BENJAMIN CONSTANT DO SUL,Benjamin Constant do Sul,Passo Fundo,Erechim,Noroeste Rio-grandense
BENTO GONCALVES,Bento Gonçalves,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
BOA VISTA DAS MISSOES,Boa Vista das Missões,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
BOA VISTA DO BURICA,Boa Vista do Buricá,Ijuí,Três de Maio,Noroeste Rio-grandense
BOA VISTA DO CADEADO,Boa Vista do Cadeado,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
BOA VISTA DO INCRA,Boa Vista do Incra,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
BOA VISTA DO SUL,Boa Vista do Sul,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
BOM JESUS,Bom Jesus,Caxias do Sul,Vacaria,Nordeste Rio-grandense
BOM PRINCIPIO,Bom Princípio,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
BOM PROGRESSO,Bom Progresso,Ijuí,Três Passos,Noroeste Rio-grandense
BOM RETIRO DO SUL,Bom Retiro do Sul,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
BOQUEIRAO DO LEAO,Boqueirão do Leão,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
BOSSOROCA,Bossoroca,Ijuí,São Luiz Gonzaga,Noroeste Rio-grandense
BOZANO,Bozano,Ijuí,Ijuí,Noroeste Rio-grandense
BRAGA,Braga,Ijuí,Três Passos,Noroeste Rio-grandense
BROCHIER,Brochier,Porto Alegre,Montenegro,Metropolitana de Porto Alegre
BUTIA,Butiá,Porto Alegre,Charqueadas - Triunfo - São Jerônimo,Metropolitana de Porto Alegre
CACAPAVA DO SUL,Caçapava do Sul,Santa Maria,São Gabriel - Caçapava do Sul,Sudeste Rio-grandense
CACEQUI,Cacequi,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
CACHOEIRA DO SUL,Cachoeira do Sul,Santa Maria,Cachoeira do Sul,Centro Oriental Rio-grandense
CACHOEIRINHA,Cachoeirinha,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
CACIQUE DOBLE,Cacique Doble,Passo Fundo,Lagoa Vermelha,Noroeste Rio-grandense
CAIBATE,Caibaté,Ijuí,São Luiz Gonzaga,Noroeste Rio-grandense
CAICARA,Caiçara,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
CAMAQUA,Camaquã,Porto Alegre,Camaquã,Metropolitana de Porto Alegre
CAMARGO,Camargo,Passo Fundo,Marau,Noroeste Rio-grandense
CAMBARA DO SUL,Cambará do Sul,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
CAMPESTRE DA SERRA,Campestre da Serra,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
CAMPINA DAS MISSOES,Campina das Missões,Ijuí,Santa Rosa,Noroeste Rio-grandense
CAMPINAS DO SUL,Campinas do Sul,Passo Fundo,Erechim,Noroeste Rio-grandense
CAMPO BOM,Campo Bom,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
CAMPO NOVO,Campo Novo,Ijuí,Três Passos,Noroeste Rio-grandense
CAMPOS BORGES,Campos Borges,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
CANDELARIA,Candelária,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
CANDIDO GODOI,Cândido Godói,Ijuí,Santa Rosa,Noroeste Rio-grandense
CANDIOTA,Candiota,Pelotas,Bagé,Sudeste Rio-grandense
CANELA,Canela,Caxias do Sul,Caxias do Sul,Metropolitana de Porto Alegre
CANGUCU,Canguçu,Pelotas,Pelotas,Sudeste Rio-grandense
CANOAS,Canoas,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
CANUDOS DO VALE,Canudos do Vale,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
CAPAO BONITO DO SUL,Capão Bonito do Sul,Passo Fundo,Lagoa Vermelha,Nordeste Rio-grandense
CAPAO DA CANOA,Capão da Canoa,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
CAPAO DO CIPO,Capão do Cipó,Santa Maria,Santiago,Centro Ocidental Rio-grandense
CAPAO DO LEAO,Capão do Leão,Pelotas,Pelotas,Sudeste Rio-grandense
CAPIVARI DO SUL,Capivari do Sul,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
CAPELA DE SANTANA,Capela de Santana,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
CAPITAO,Capitão,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
CARAZINHO,Carazinho,Passo Fundo,Carazinho,Noroeste Rio-grandense
CARAA,Caraá,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
CARLOS BARBOSA,Carlos Barbosa,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
CARLOS GOMES,Carlos Gomes,Passo Fundo,Erechim,Noroeste Rio-grandense
CASCA,Casca,Passo Fundo,Marau,Noroeste Rio-grandense
CASEIROS,Caseiros,Passo Fundo,Lagoa Vermelha,Noroeste Rio-grandense
CATUIPE,Catuípe,Ijuí,Ijuí,Noroeste Rio-grandense
CAXIAS DO SUL,Caxias do Sul,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
CENTENARIO,Centenário,Passo Fundo,Erechim,Noroeste Rio-grandense
CERRITO,Cerrito,Pelotas,Pelotas,Sudeste Rio-grandense
CERRO BRANCO,Cerro Branco,Santa Maria,Cachoeira do Sul,Centro Oriental Rio-grandense
CERRO GRANDE,Cerro Grande,Passo Fundo,Palmeira das Missões,Noroeste Rio-grandense
CERRO GRANDE DO SUL,Cerro Grande do Sul,Porto Alegre,Camaquã,Metropolitana de Porto Alegre
CERRO LARGO,Cerro Largo,Ijuí,Cerro Largo,Noroeste Rio-grandense
CHAPADA,Chapada,Passo Fundo,Carazinho,Noroeste Rio-grandense
CHARQUEADAS,Charqueadas,Porto Alegre,Charqueadas - Triunfo - São Jerônimo,Metropolitana de Porto Alegre
CHARRUA,Charrua,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
CHIAPETTA,Chiapetta,Ijuí,Ijuí,Noroeste Rio-grandense
CHUI,Chuí,Pelotas,Pelotas,Sudeste Rio-grandense
CHUVISCA,Chuvisca,Porto Alegre,Camaquã,Metropolitana de Porto Alegre
CIDREIRA,Cidreira,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
CIRIACO,Ciríaco,Passo Fundo,Marau,Noroeste Rio-grandense
COLINAS,Colinas,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
COLORADO,Colorado,Passo Fundo,Carazinho,Noroeste Rio-grandense
CONDOR,Condor,Ijuí,Ijuí,Noroeste Rio-grandense
CONSTANTINA,Constantina,Passo Fundo,Carazinho,Noroeste Rio-grandense
COQUEIRO BAIXO,Coqueiro Baixo,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
COQUEIROS DO SUL,Coqueiros do Sul,Passo Fundo,Carazinho,Noroeste Rio-grandense
CORONEL BARROS,Coronel Barros,Ijuí,Ijuí,Noroeste Rio-grandense
CORONEL BICACO,Coronel Bicaco,Ijuí,Ijuí,Noroeste Rio-grandense
CORONEL PILAR,Coronel Pilar,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
COTIPORA,Cotiporã,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
COXILHA,Coxilha,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
CRISSIUMAL,Crissiumal,Ijuí,Três Passos,Noroeste Rio-grandense
CRISTAL,Cristal,Porto Alegre,Camaquã,Sudeste Rio-grandense
CRISTAL DO SUL,Cristal do Sul,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
CRUZ ALTA,Cruz Alta,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
CRUZALTENSE,Cruzaltense,Passo Fundo,Erechim,Noroeste Rio-grandense
CRUZEIRO DO SUL,Cruzeiro do Sul,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
DAVID CANABARRO,David Canabarro,Passo Fundo,Marau,Noroeste Rio-grandense
DERRUBADAS,Derrubadas,Ijuí,Três Passos,Noroeste Rio-grandense
DEZESSEIS DE NOVEMBRO,Dezesseis de Novembro,Ijuí,São Luiz Gonzaga,Noroeste Rio-grandense
DILERMANDO DE AGUIAR,Dilermando de Aguiar,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
DOIS IRMAOS,Dois Irmãos,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
DOIS IRMAOS DAS MISSOES,Dois Irmãos das Missões,Passo Fundo,Palmeira das Missões,Noroeste Rio-grandense
DOIS LAJEADOS,Dois Lajeados,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
DOM FELICIANO,Dom Feliciano,Porto Alegre,Camaquã,Metropolitana de Porto Alegre
DOM PEDRO DE ALCANTARA,Dom Pedro de Alcântara,Porto Alegre,Torres,Metropolitana de Porto Alegre
DOM PEDRITO,Dom Pedrito,Pelotas,Bagé,Sudoeste Rio-grandense
DONA FRANCISCA,Dona Francisca,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
DOUTOR MAURICIO CARDOSO,Doutor Maurício Cardoso,Ijuí,Três de Maio,Noroeste Rio-grandense
DOUTOR RICARDO,Doutor Ricardo,Santa Cruz do Sul - Lajeado,Encantado,Centro Oriental Rio-grandense
ELDORADO DO SUL,Eldorado do Sul,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
ENCANTADO,Encantado,Santa Cruz do Sul - Lajeado,Encantado,Centro Oriental Rio-grandense
ENCRUZILHADA DO SUL,Encruzilhada do Sul,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Sudeste Rio-grandense
ENGENHO VELHO,Engenho Velho,Passo Fundo,Carazinho,Noroeste Rio-grandense
ENTRE IJUIS,Entre-Ijuís,Ijuí,Santo Ângelo,Noroeste Rio-grandense
ENTRE RIOS DO SUL,Entre Rios do Sul,Passo Fundo,Erechim,Noroeste Rio-grandense
EREBANGO,Erebango,Passo Fundo,Erechim,Noroeste Rio-grandense
ERECHIM,Erechim,Passo Fundo,Erechim,Noroeste Rio-grandense
ERNESTINA,Ernestina,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
HERVAL,Herval,Pelotas,Pelotas,Sudeste Rio-grandense
ERVAL GRANDE,Erval Grande,Passo Fundo,Erechim,Noroeste Rio-grandense
ERVAL SECO,Erval Seco,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
ESMERALDA,Esmeralda,Caxias do Sul,Vacaria,Nordeste Rio-grandense
ESPERANCA DO SUL,Esperança do Sul,Ijuí,Três Passos,Noroeste Rio-grandense
ESPUMOSO,Espumoso,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
ESTACAO,Estação,Passo Fundo,Erechim,Noroeste Rio-grandense
ESTANCIA VELHA,Estância Velha,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
ESTEIO,Esteio,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
ESTRELA,Estrela,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
ESTRELA VELHA,Estrela Velha,Santa Cruz do Sul - Lajeado,Sobradinho,Centro Oriental Rio-grandense
EUGENIO DE CASTRO,Eugênio de Castro,Ijuí,Santo Ângelo,Noroeste Rio-grandense
FAGUNDES VARELA,Fagundes Varela,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
FARROUPILHA,Farroupilha,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
FAXINAL DO SOTURNO,Faxinal do Soturno,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
FAXINALZINHO,Faxinalzinho,Passo Fundo,Erechim,Noroeste Rio-grandense
FAZENDA VILANOVA,Fazenda Vilanova,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
FELIZ,Feliz,Caxias do Sul,Caxias do Sul,Metropolitana de Porto Alegre
FLORES DA CUNHA,Flores da Cunha,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
FLORIANO PEIXOTO,Floriano Peixoto,Passo Fundo,Erechim,Noroeste Rio-grandense
FONTOURA XAVIER,Fontoura Xavier,Passo Fundo,Soledade,Noroeste Rio-grandense
FORMIGUEIRO,Formigueiro,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
FORQUETINHA,Forquetinha,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
FORTALEZA DOS VALOS,Fortaleza dos Valos,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
FREDERICO WESTPHALEN,Frederico Westphalen,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
GARIBALDI,Garibaldi,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
GARRUCHOS,Garruchos,Ijuí,São Luiz Gonzaga,Sudoeste Rio-grandense
GAURAMA,Gaurama,Passo Fundo,Erechim,Noroeste Rio-grandense
GENERAL CAMARA,General Câmara,Porto Alegre,Charqueadas - Triunfo - São Jerônimo,Metropolitana de Porto Alegre
GENTIL,Gentil,Passo Fundo,Marau,Noroeste Rio-grandense
GETULIO VARGAS,Getúlio Vargas,Passo Fundo,Erechim,Noroeste Rio-grandense
GIRUA,Giruá,Ijuí,Santo Ângelo,Noroeste Rio-grandense
GLORINHA,Glorinha,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
GRAMADO,Gramado,Caxias do Sul,Caxias do Sul,Metropolitana de Porto Alegre
GRAMADO DOS LOUREIROS,Gramado dos Loureiros,Passo Fundo,Nonoai,Noroeste Rio-grandense
GRAMADO XAVIER,Gramado Xavier,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
GRAVATAI,Gravataí,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
GUABIJU,Guabiju,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
GUAIBA,Guaíba,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
GUAPORE,Guaporé,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
GUARANI DAS MISSOES,Guarani das Missões,Ijuí,Santo Ângelo,Noroeste Rio-grandense
HARMONIA,Harmonia,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
HERVEIRAS,Herveiras,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
HORIZONTINA,Horizontina,Ijuí,Três de Maio,Noroeste Rio-grandense
HULHA NEGRA,Hulha Negra,Pelotas,Bagé,Sudoeste Rio-grandense
HUMAITA,Humaitá,Ijuí,Três Passos,Noroeste Rio-grandense
IBARAMA,Ibarama,Santa Cruz do Sul - Lajeado,Sobradinho,Centro Oriental Rio-grandense
IBIACA,Ibiaçá,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
IBIRAIARAS,Ibiraiaras,Passo Fundo,Lagoa Vermelha,Noroeste Rio-grandense
IBIRAPUITA,Ibirapuitã,Passo Fundo,Soledade,Noroeste Rio-grandense
IBIRUBA,Ibirubá,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
IGREJINHA,Igrejinha,Porto Alegre,Taquara - Parobé - Igrejinha,Metropolitana de Porto Alegre
IJUI,Ijuí,Ijuí,Ijuí,Noroeste Rio-grandense
ILOPOLIS,Ilópolis,Santa Cruz do Sul - Lajeado,Encantado,Nordeste Rio-grandense
IMBE,Imbé,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
IMIGRANTE,Imigrante,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
INDEPENDENCIA,Independência,Ijuí,Três de Maio,Noroeste Rio-grandense
INHACORA,Inhacorá,Ijuí,Ijuí,Noroeste Rio-grandense
IPE,Ipê,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
IPIRANGA DO SUL,Ipiranga do Sul,Passo Fundo,Erechim,Noroeste Rio-grandense
IRAI,Iraí,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
ITAARA,Itaara,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
ITACURUBI,Itacurubi,Santa Maria,Santiago,Centro Ocidental Rio-grandense
ITAPUCA,Itapuca,Passo Fundo,Soledade,Nordeste Rio-grandense
ITAQUI,Itaqui,Uruguaiana,São Borja,Sudoeste Rio-grandense
ITATI,Itati,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
ITATIBA DO SUL,Itatiba do Sul,Passo Fundo,Erechim,Noroeste Rio-grandense
IVORA,Ivorá,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
IVOTI,Ivoti,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
JABOTICABA,Jaboticaba,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
JACUIZINHO,Jacuizinho,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
JACUTINGA,Jacutinga,Passo Fundo,Erechim,Noroeste Rio-grandense
JAGUARAO,Jaguarão,Pelotas,Pelotas,Sudeste Rio-grandense
JAGUARI,Jaguari,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
JAQUIRANA,Jaquirana,Caxias do Sul,Vacaria,Nordeste Rio-grandense
JARI,Jari,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
JOIA,Jóia,Ijuí,Ijuí,Noroeste Rio-grandense
JULIO DE CASTILHOS,Júlio de Castilhos,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
LAGOA BONITA DO SUL,Lagoa Bonita do Sul,Santa Cruz do Sul - Lajeado,Sobradinho,Centro Oriental Rio-grandense
LAGOAO,Lagoão,Santa Cruz do Sul - Lajeado,Sobradinho,Noroeste Rio-grandense
LAGOA DOS TRES CANTOS,Lagoa dos Três Cantos,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
LAGOA VERMELHA,Lagoa Vermelha,Passo Fundo,Lagoa Vermelha,Nordeste Rio-grandense
LAJEADO,Lajeado,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
LAJEADO DO BUGRE,Lajeado do Bugre,Passo Fundo,Palmeira das Missões,Noroeste Rio-grandense
LAVRAS DO SUL,Lavras do Sul,Santa Maria,São Gabriel - Caçapava do Sul,Sudoeste Rio-grandense
LIBERATO SALZANO,Liberato Salzano,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
LINDOLFO COLLOR,Lindolfo Collor,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
LINHA NOVA,Linha Nova,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
MACHADINHO,Machadinho,Passo Fundo,Lagoa Vermelha,Noroeste Rio-grandense
MACAMBARA,Maçambará,Uruguaiana,São Borja,Sudoeste Rio-grandense
MAMPITUBA,Mampituba,Porto Alegre,Torres,Metropolitana de Porto Alegre
MANOEL VIANA,Manoel Viana,Uruguaiana,Uruguaiana,Sudoeste Rio-grandense
MAQUINE,Maquiné,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
MARATA,Maratá,Porto Alegre,Montenegro,Metropolitana de Porto Alegre
MARAU,Marau,Passo Fundo,Marau,Noroeste Rio-grandense
MARCELINO RAMOS,Marcelino Ramos,Passo Fundo,Erechim,Noroeste Rio-grandense
MARIANA PIMENTEL,Mariana Pimentel,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
MARIANO MORO,Mariano Moro,Passo Fundo,Erechim,Noroeste Rio-grandense
MARQUES DE SOUZA,Marques de Souza,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
MATA,Mata,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
MATO CASTELHANO,Mato Castelhano,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
MATO LEITAO,Mato Leitão,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
MATO QUEIMADO,Mato Queimado,Ijuí,Cerro Largo,Noroeste Rio-grandense
MAXIMILIANO DE ALMEIDA,Maximiliano de Almeida,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
MINAS DO LEAO,Minas do Leão,Porto Alegre,Charqueadas - Triunfo - São Jerônimo,Metropolitana de Porto Alegre
MIRAGUAI,Miraguaí,Ijuí,Três Passos,Noroeste Rio-grandense
